DateTime,RealPower
2015-01-21 00:00:00,0.004
2015-01-21 00:15:00,0.008
2015-01-21 00:30:00,0.006
2015-01-21 00:45:00,0.005
2015-01-21 01:00:00,0.005
2015-01-21 01:15:00,0.005
2015-01-21 01:30:00,0.005
2015-01-21 01:45:00,0.006
2015-01-21 02:00:00,0.006
2015-01-21 02:15:00,0.003
2015-01-21 02:30:00,0.004
2015-01-21 02:45:00,0.002
2015-01-21 03:00:00,0.004
2015-01-21 03:15:00,0.004
2015-01-21 03:30:00,0.004
2015-01-21 03:45:00,0.003
2015-01-21 04:00:00,0.003
2015-01-21 04:15:00,0.004
2015-01-21 04:30:00,0.005
2015-01-21 04:45:00,0.005
2015-01-21 05:00:00,0.006
2015-01-21 05:15:00,0.004
2015-01-21 05:30:00,0.006
2015-01-21 05:45:00,0.006
2015-01-21 06:00:00,0.003
2015-01-21 06:15:00,0.001
2015-01-21 06:30:00,0.002
2015-01-21 06:45:00,0.0
2015-01-21 07:00:00,0.022
2015-01-21 07:15:00,0.004
2015-01-21 07:30:00,0.331
2015-01-21 07:45:00,1.131
2015-01-21 08:00:00,3.658
2015-01-21 08:15:00,4.985
2015-01-21 08:30:00,5.844
2015-01-21 08:45:00,8.124
2015-01-21 09:00:00,12.822
2015-01-21 09:15:00,13.67
2015-01-21 09:30:00,16.145
2015-01-21 09:45:00,17.718
2015-01-21 10:00:00,32.857
2015-01-21 10:15:00,34.755
2015-01-21 10:30:00,37.656
2015-01-21 10:45:00,41.097
2015-01-21 11:00:00,42.985
2015-01-21 11:15:00,44.238
2015-01-21 11:30:00,45.78
2015-01-21 11:45:00,46.637
2015-01-21 12:00:00,47.264
2015-01-21 12:15:00,47.806
2015-01-21 12:30:00,48.09
2015-01-21 12:45:00,47.817
2015-01-21 13:00:00,47.062
2015-01-21 13:15:00,45.691
2015-01-21 13:30:00,44.378
2015-01-21 13:45:00,42.942
2015-01-21 14:00:00,41.206
2015-01-21 14:15:00,39.492
2015-01-21 14:30:00,37.774
2015-01-21 14:45:00,34.922
2015-01-21 15:00:00,31.386
2015-01-21 15:15:00,27.506
2015-01-21 15:30:00,22.66
2015-01-21 15:45:00,16.777
2015-01-21 16:00:00,11.999
2015-01-21 16:15:00,7.729
2015-01-21 16:30:00,4.463
2015-01-21 16:45:00,1.915
2015-01-21 17:00:00,0.67
2015-01-21 17:15:00,0.003
2015-01-21 17:30:00,-0.169
2015-01-21 17:45:00,0.006
2015-01-21 18:00:00,0.004
