Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,253419,-,-,-,32.82,-117.21,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2018,1,1,0,0,0,0,0,0,0,0,7.7,170.03,0.13,1.5,1.6,338,61.99,14.9,1009,N/A
2018,1,1,0,30,0,0,0,0,0,0,7.7,167.14000000000001,0.13,1.6,1.6,335,62.39,14.8,1009,N/A
2018,1,1,1,0,0,0,0,0,0,0,7.2,162.15,0.13,1.6,1.5,333,60.35,14.8,1009,N/A
2018,1,1,1,30,0,0,0,0,0,0,7.2,156.37,0.13,1.7000000000000002,1.5,337,60.74,14.700000000000001,1009,N/A
2018,1,1,2,0,0,0,0,0,0,0,6.7,150.27,0.13,1.8,1.5,340,58.620000000000005,14.700000000000001,1009,N/A
2018,1,1,2,30,0,0,0,0,0,0,6.7,144.04,0.13,1.8,1.5,347,59.38,14.5,1009,N/A
2018,1,1,3,0,0,0,0,0,0,0,6.1000000000000005,137.75,0.13,1.9000000000000001,1.5,353,57.35,14.4,1009,N/A
2018,1,1,3,30,0,0,0,0,0,0,6.1000000000000005,131.45,0.13,1.8,1.4000000000000001,178,57.72,14.3,1009,N/A
2018,1,1,4,0,0,0,0,0,0,0,5.5,125.17,0.13,1.8,1.4000000000000001,2,56.01,14.100000000000001,1009,N/A
2018,1,1,4,30,0,0,0,0,0,0,5.5,118.94,0.13,1.9000000000000001,1.4000000000000001,9,56.74,13.9,1009,N/A
2018,1,1,5,0,0,0,0,0,0,0,4.800000000000001,112.77,0.13,1.9000000000000001,1.4000000000000001,15,55.1,13.700000000000001,1009,N/A
2018,1,1,5,30,0,0,0,0,0,0,4.800000000000001,106.69,0.13,1.8,1.4000000000000001,21,55.46,13.600000000000001,1009,N/A
2018,1,1,6,0,0,0,0,0,0,0,4.1000000000000005,100.72,0.13,1.8,1.3,28,52.93,13.5,1009,N/A
2018,1,1,6,30,0,0,0,0,0,0,4.1000000000000005,94.9,0.13,1.7000000000000002,1.3,31,51.63,13.9,1010,N/A
2018,1,1,7,0,10,161,14,10,161,14,3.6,88.86,0.13,1.6,1.3,35,48.59,14.3,1010,N/A
2018,1,1,7,30,39,114,52,31,456,81,3.6,83.67,0.13,1.9000000000000001,1.3,41,44.7,15.600000000000001,1010,N/A
2018,1,1,8,0,45,625,169,45,625,169,3.5,78.55,0.13,2.2,1.3,46,40.77,16.900000000000002,1010,N/A
2018,1,1,8,30,99,317,188,54,728,258,3.5,73.72,0.13,2.2,1.3,41,38.77,17.7,1010,N/A
2018,1,1,9,0,61,797,343,61,797,343,3.9000000000000004,69.27,0.13,2.1,1.3,36,37.83,18.6,1010,N/A
2018,1,1,9,30,133,495,340,66,843,418,3.9000000000000004,65.29,0.13,2,1.3,37,36.22,19.3,1010,N/A
2018,1,1,10,0,161,476,385,72,869,481,3.6,61.870000000000005,0.13,1.9000000000000001,1.3,38,33.58,20.1,1010,N/A
2018,1,1,10,30,233,153,312,75,892,532,3.6,59.120000000000005,0.13,1.9000000000000001,1.3,153,32.76,20.5,1010,N/A
2018,1,1,11,0,230,324,406,79,899,567,3.4000000000000004,57.14,0.13,1.8,1.3,268,31.48,21,1010,N/A
2018,1,1,11,30,250,260,396,80,906,587,3.4000000000000004,56.01,0.13,2,1.3,272,30.900000000000002,21.3,1010,N/A
2018,1,1,12,0,112,764,542,82,903,590,4.1000000000000005,55.78,0.13,2.1,1.3,277,31.87,21.5,1009,N/A
2018,1,1,12,30,82,898,578,82,898,578,4.1000000000000005,56.46,0.13,2.1,1.3,285,31.68,21.6,1009,N/A
2018,1,1,13,0,160,572,463,82,882,549,4.5,58.02,0.13,2.1,1.3,293,32.65,21.6,1009,N/A
2018,1,1,13,30,80,863,506,80,863,506,4.5,60.39,0.13,2.2,1.3,296,33.45,21.200000000000003,1009,N/A
2018,1,1,14,0,166,396,342,77,827,446,5.2,63.480000000000004,0.13,2.3000000000000003,1.4000000000000001,299,36.160000000000004,20.700000000000003,1009,N/A
2018,1,1,14,30,143,362,283,72,786,377,5.2,67.18,0.13,2.2,1.4000000000000001,302,37.75,20,1009,N/A
2018,1,1,15,0,131,124,170,65,724,296,6,71.41,0.13,2.2,1.4000000000000001,304,41.79,19.3,1008,N/A
2018,1,1,15,30,94,92,117,56,637,209,6,76.06,0.13,2.2,1.4000000000000001,304,41.79,19.3,1008,N/A
2018,1,1,16,0,57,54,65,43,499,121,6.6000000000000005,81.04,0.13,1.9000000000000001,1.4000000000000001,318,48.93,17.400000000000002,1008,N/A
2018,1,1,16,30,23,0,23,23,272,41,6.6000000000000005,86.25,0.13,1.9000000000000001,1.5,321,50.5,16.900000000000002,1008,N/A
2018,1,1,17,0,0,0,0,0,0,0,7,92,0.13,1.8,1.5,324,53.92,16.3,1009,N/A
2018,1,1,17,30,0,0,0,0,0,0,6.9,97.75,0.13,1.8,1.5,328,54.96,16,1009,N/A
2018,1,1,18,0,0,0,0,0,0,0,6.9,103.65,0.13,1.8,1.5,333,55.61,15.8,1009,N/A
2018,1,1,18,30,0,0,0,0,0,0,6.9,109.67,0.13,1.7000000000000002,1.5,335,56.32,15.600000000000001,1009,N/A
2018,1,1,19,0,0,0,0,0,0,0,6.7,115.8,0.13,1.7000000000000002,1.6,337,55.9,15.5,1009,N/A
2018,1,1,19,30,0,0,0,0,0,0,6.7,122,0.13,1.5,1.6,336,56.31,15.4,1010,N/A
2018,1,1,20,0,0,0,0,0,0,0,6.7,128.26,0.13,1.4000000000000001,1.6,335,56.31,15.4,1010,N/A
2018,1,1,20,30,0,0,0,0,0,0,6.7,134.55,0.13,1.3,1.6,333,56.31,15.4,1010,N/A
2018,1,1,21,0,0,0,0,0,0,0,6.800000000000001,140.85,0.13,1.2000000000000002,1.6,330,57.03,15.3,1010,N/A
2018,1,1,21,30,0,0,0,0,0,0,6.800000000000001,147.11,0.13,1.2000000000000002,1.7000000000000002,323,57.4,15.200000000000001,1010,N/A
2018,1,1,22,0,0,0,0,0,0,0,6.9,153.29,0.13,1.1,1.7000000000000002,315,57.52,15.200000000000001,1010,N/A
2018,1,1,22,30,0,0,0,0,0,0,6.9,159.25,0.13,1.1,1.7000000000000002,312,57.15,15.3,1010,N/A
2018,1,1,23,0,0,0,0,0,0,0,7,164.72,0.13,1,1.7000000000000002,309,57.21,15.4,1010,N/A
2018,1,1,23,30,0,0,0,0,0,0,7,168.89000000000001,0.13,1,1.8,320,57.21,15.4,1010,N/A
2018,1,2,0,0,0,0,0,0,0,0,7.1000000000000005,169.96,0.13,0.9,1.8,332,57.2,15.5,1010,N/A
2018,1,2,0,30,0,0,0,0,0,0,7.1000000000000005,167.13,0.13,0.9,1.8,325,57.57,15.4,1010,N/A
2018,1,2,1,0,0,0,0,0,0,0,7.2,162.18,0.13,0.9,1.8,317,58.33,15.3,1009,N/A
2018,1,2,1,30,0,0,0,0,0,0,7.2,156.42000000000002,0.13,0.9,1.7000000000000002,321,57.65,15.5,1010,N/A
2018,1,2,2,0,0,0,0,0,0,0,7.4,150.33,0.13,0.9,1.7000000000000002,324,58.09,15.600000000000001,1010,N/A
2018,1,2,2,30,0,0,0,0,0,0,7.4,144.1,0.13,0.9,1.7000000000000002,336,58.46,15.5,1010,N/A
2018,1,2,3,0,0,0,0,0,0,0,7.5,137.81,0.13,0.9,1.7000000000000002,347,59.230000000000004,15.4,1009,N/A
2018,1,2,3,30,0,0,0,0,0,0,7.5,131.51,0.13,0.9,1.6,351,59.230000000000004,15.4,1009,N/A
2018,1,2,4,0,0,0,0,0,0,0,7.5,125.23,0.13,0.9,1.6,354,59.34,15.4,1009,N/A
2018,1,2,4,30,0,0,0,0,0,0,7.5,119,0.13,0.9,1.6,354,59.34,15.4,1009,N/A
2018,1,2,5,0,0,0,0,0,0,0,7.4,112.82000000000001,0.13,0.9,1.5,354,58.870000000000005,15.4,1010,N/A
2018,1,2,5,30,0,0,0,0,0,0,7.4,106.74000000000001,0.13,0.9,1.5,348,59.25,15.3,1010,N/A
2018,1,2,6,0,0,0,0,0,0,0,7.2,100.77,0.13,0.8,1.5,342,58.730000000000004,15.200000000000001,1010,N/A
2018,1,2,6,30,0,0,0,0,0,0,7.2,94.94,0.13,0.8,1.5,334,57.61,15.5,1010,N/A
2018,1,2,7,0,10,115,12,10,115,12,6.9,88.89,0.13,0.8,1.4000000000000001,327,55.49,15.8,1010,N/A
2018,1,2,7,30,38,183,58,33,404,77,6.9,83.7,0.13,0.9,1.4000000000000001,330,51.43,17,1010,N/A
2018,1,2,8,0,66,304,126,48,584,164,6.6000000000000005,78.57000000000001,0.13,0.9,1.4000000000000001,332,46.68,18.2,1010,N/A
2018,1,2,8,30,59,691,253,59,691,253,6.6000000000000005,73.73,0.13,1.1,1.4000000000000001,335,43.32,19.400000000000002,1010,N/A
