#Meteo hourly data,,,,,,,,,,,,,,,,,,,
#Site, Solcast_site_-117.241045_32.881404,,,,,,,,,,,,,,,,,,
#Country, United States,,,,,,,,,,,,,,,,,,
#Data Source, Solcast https://solcast.com,,,,,,,,,,,,,,,,,,
#Time step,1,,,,,,,,,,,,,,,,,,
#Latitude,32.8814,,,,,,,,,,,,,,,,,,
#Longitude,-117.241,,,,,,,,,,,,,,,,,,
#Altitude,129,,,,,,,,,,,,,,,,,,
#Time Zone,-8,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,[deg C],[degree],[%],[deg C],[W/m2],[W/m2],[W/m2],[W/m2],[cm],[cm],[mbar],[degree],[m/s],[],[degree]
Year,Month,Day,Hour,Minute,Tamb,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,Pw,SnowDepth,Pressure,WindDir,WindVel,AlbedoDaily,Zenith
2016,12,30,0,0,11.4,-41,0,10.4,0,0,0,0,2.11,0,980.7,55,2.3,0.12,167
2016,12,30,1,0,11.1,-72,0,10,0,0,0,0,2.15,0,980.3,50,2.1,0.11,156
2016,12,30,2,0,11.1,-85,0,9.6,0,0,0,0,2.19,0,980,40,1.8,0.11,144
2016,12,30,3,0,11.1,-93,0,9.2,0,0,0,0,2.24,0,979.6,26,1.6,0.11,131
2016,12,30,4,0,11.3,-100,0,9.2,0,0,0,0,2.29,0,979.5,4,1.6,0.11,119
2016,12,30,5,0,11.5,-107,0,9.6,0,0,0,0,2.37,0,979.7,342,2,0.11,107
2016,12,30,6,0,11.8,-115,0,10.1,2,10,1,3,2.44,0,979.9,329,2.6,0.11,95
2016,12,30,7,0,12.3,-123,39.2,10.6,26,23,2,28,2.5,0,980,331,2.9,0.11,84
2016,12,30,8,0,12.9,-133,81.7,11.2,46,0,0,46,2.54,0,980,342,2.9,0.11,74
2016,12,30,9,0,13.6,-144,71.9,11.7,107,0,0,107,2.58,0,980,353,3,0.11,65
2016,12,30,10,0,14,-158,76.5,12.1,115,0,0,115,2.54,0,979.5,2,2.9,0.11,59
2016,12,30,11,0,14.3,-174,51.3,12.3,264,0,0,264,2.41,0,978.5,11,2.5,0.11,56
2016,12,30,12,0,14.5,169,53,12.5,249,2,1,250,2.28,0,977.6,22,2.2,0.11,57
2016,12,30,13,0,14.5,154,41.2,12.4,274,4,2,276,2.16,0,977,12,1.2,0.11,61
2016,12,30,14,0,14.4,141,55.6,12,158,0,0,158,2.07,0,976.9,270,1.3,0.11,68
2016,12,30,15,0,14.2,130,53.3,11.5,82,0,0,82,1.98,0,976.8,247,3,0.11,77
2016,12,30,16,0,13.6,120,36.4,11.2,27,0,0,27,1.92,0,976.7,246,3.6,0.11,87
2016,12,30,17,0,12.7,112,41,11,0,0,0,0,1.9,0,976.6,255,2.9,0.11,98
2016,12,30,18,0,11.8,105,40,10.9,0,0,0,0,1.88,0,976.6,269,2.3,0.11,110
2016,12,30,19,0,11.3,98,40,10.8,0,0,0,0,1.86,0,976.5,274,2,0.11,122
2016,12,30,20,0,11.2,91,38.9,10.7,0,0,0,0,1.84,0,976.4,266,2,0.11,135
2016,12,30,21,0,11.2,81,39.4,10.6,0,0,0,0,1.82,0,976.4,258,2.1,0.11,147
