DateTime,RealPower0,RealPower1,RealPower4,RealPower5,RealPower8,RealPower9,RealPower12,RealPower13,RealPower16,RealPower17,RealPower20,RealPower21,RealPower24,RealPower25,RealPower28,RealPower29,RealPower32,RealPower33,RealPower36,RealPower37,RealPower40,RealPower41,RealPower
1/1/2018 0:00,0,0.304,0,0,0,0,0.037,0.318,0,0.047,0,0.556,0.348,0,0,0,0,0.232,0,0,0,0.972,0
1/1/2018 1:00,0,0.307,0,0,0,0,0.045,0.319,0,0.044,0,0.556,0.348,0,0,0,0,0.232,0,0,0,0.968,0
1/1/2018 2:00,0,0.321,0,0,0,0,0.046,0.32,0,0.047,0,0.56,0.352,0,0,0,0,0.232,0,0,0,0.969,0
1/1/2018 3:00,0,0.324,0,0,0,0,0.047,0.32,0,0.046,0,0.56,0.352,0,0,0,0,0.232,0,0,0,0.973,0
1/1/2018 4:00,0,0.299,0,0,0,0,0.042,0.319,0,0.047,0,0.559,0.351,0,0,0,0,0.232,0,0,0,0.972,0
1/1/2018 5:00,0,0.291,0,0,0,0,0.038,0.32,0,0.046,0,0.556,0.348,0,0,0,0,0.231,0,0,0,0.97,0
1/1/2018 6:00,0,0.278,0,0.845,0,0.025,0.05,0.318,0,0.044,0,0.552,0.348,0.457,0,0,0,0.236,0,0.387,0,0.968,0
1/1/2018 7:00,0,5.443,3.418,46.5,1.862,10.946,0.849,0.86,4.958,5.535,21.453,3.321,3.263,4.65,2.892,2.743,0,2.917,13.058,14.786,14.74,3.516,14.201
1/1/2018 8:00,0,20.261,68.668,124.237,43.348,46.249,13.462,9.286,53.301,28.269,244.015,17.523,18.236,21.269,60.522,26.255,0,25.287,111.878,50.648,87.781,23.864,187.636
1/1/2018 9:00,0,50.881,225.505,199.905,115.942,81.921,41.16,28.881,144.354,46.683,456.1,33.452,38.596,34.454,146.35,65.348,0,57.774,212.978,88.195,155.108,57.127,468.234
1/1/2018 10:00,0,77.064,342.444,245.124,153.633,107.818,67.524,50.47,193.458,63.11,644.514,47.126,55.134,42.566,216.75,115.615,0,70.776,292.05,115.326,211.904,92.312,588.426
1/1/2018 11:00,0,69.301,389.302,241.303,137.215,99.816,86.988,70.763,181.731,57.035,589.721,46.45,52.467,41.681,221.678,113.226,0,63.853,260.268,107.93,192.581,89.917,539.226
1/1/2018 12:00,0,75.299,412.188,230.959,172.857,124.651,90.888,74.475,215.647,71.374,688.272,56.729,62.422,40.296,234.725,126.776,0,74.187,324.414,109.17,230.486,106.93,651.176
1/1/2018 13:00,0,55.323,375.822,114.578,135.571,76.245,95.246,77.745,160.685,56.617,532.167,44.977,49.415,20.777,188.637,101.236,0,54.168,252.075,67.56,181.661,83.002,550.749
1/1/2018 14:00,0,26.096,158.375,74.366,62.167,36.653,46.659,39.553,63.881,27.304,249.084,20.477,22.124,13.289,83.765,45.847,0,22.95,108.058,33.873,85.926,32.265,267.747
1/1/2018 15:00,0,18.063,118.855,36.025,34.221,24.969,25.959,22.211,38.894,15.752,146.831,13.605,14.445,6.852,63.792,31.986,0,15.43,61.669,18.725,55.433,22.387,142.58
