,Supply,Month,Day,Hour,DHI,DNI,GHI,Temp,Weekday,target
0,5.798,1.0,1.0,0.0,0.0,0.0,0.0,14.850000000000001,0,5.768000000000001
1,5.803,1.0,1.0,1.0,0.0,0.0,0.0,14.75,0,5.800000000000001
2,5.831,1.0,1.0,2.0,0.0,0.0,0.0,14.6,0,5.803
3,5.838,1.0,1.0,3.0,0.0,0.0,0.0,14.350000000000001,0,5.825000000000001
4,5.805,1.0,1.0,4.0,0.0,0.0,0.0,14.0,0,5.799
5,5.784,1.0,1.0,5.0,0.0,0.0,0.0,13.649999999999999,0,5.812
6,7.369,1.0,1.0,6.0,0.0,0.0,0.0,13.7,0,11.517999999999999
7,182.745,1.0,1.0,7.0,20.5,308.5,47.5,14.95,0,301.66900000000004
8,1284.9790000000003,1.0,1.0,8.0,49.5,676.5,213.5,17.3,0,1474.7479999999998
9,2751.932,1.0,1.0,9.0,63.5,820.0,380.5,18.950000000000003,0,2876.1739999999995
10,3796.1279999999997,1.0,1.0,10.0,73.5,880.5,506.5,20.3,0,3844.877000000001
11,3655.436,1.0,1.0,11.0,79.5,902.5,577.0,21.15,0,4325.998
12,4176.904999999999,1.0,1.0,12.0,82.0,900.5,584.0,21.55,0,4346.418000000001
13,3277.24,1.0,1.0,13.0,81.0,872.5,527.5,21.400000000000002,0,3445.318
14,1523.4430000000002,1.0,1.0,14.0,74.5,806.5,411.5,20.35,0,3035.286
15,931.668,1.0,1.0,15.0,60.5,680.5,252.5,19.3,0,1523.721
16,308.23,1.0,1.0,16.0,33.0,385.5,81.0,17.150000000000002,0,273.16200000000003
17,13.617,1.0,1.0,17.0,0.0,0.0,0.0,16.15,0,13.389
18,5.801,1.0,1.0,18.0,0.0,0.0,0.0,15.7,0,5.806
19,5.833,1.0,1.0,19.0,0.0,0.0,0.0,15.45,0,5.8180000000000005
20,5.838,1.0,1.0,20.0,0.0,0.0,0.0,15.4,0,5.806000000000001
21,5.82,1.0,1.0,21.0,0.0,0.0,0.0,15.25,0,5.812
22,5.831999999999999,1.0,1.0,22.0,0.0,0.0,0.0,15.25,0,5.797000000000001
23,5.764,1.0,1.0,23.0,0.0,0.0,0.0,15.4,0,5.736999999999999
24,5.768000000000001,1.0,2.0,0.0,0.0,0.0,0.0,15.45,1,5.765
25,5.800000000000001,1.0,2.0,1.0,0.0,0.0,0.0,15.4,1,5.797
26,5.803,1.0,2.0,2.0,0.0,0.0,0.0,15.55,1,5.77
27,5.825000000000001,1.0,2.0,3.0,0.0,0.0,0.0,15.4,1,5.757999999999999
28,5.799,1.0,2.0,4.0,0.0,0.0,0.0,15.4,1,5.755
