,RealPower1,RealPower5,RealPower8,RealPower9,RealPower12,RealPower13,RealPower16,RealPower17,RealPower21,RealPower24,RealPower25,RealPower28,RealPower29,RealPower33,RealPower36,RealPower37,RealPower40,RealPower41,RealPower_42,RealPower_43,RealPower_44,RealPower_45,RealPower_46,RealPower_47,RealPower_48
0,0.304,0.0,0.0,0.0,0.037,0.318,0.0,0.047,0.556,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.307,0.0,0.0,0.0,0.045,0.319,0.0,0.044,0.556,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.321,0.0,0.0,0.0,0.046,0.32,0.0,0.047,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.324,0.0,0.0,0.0,0.047,0.32,0.0,0.046,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.299,0.0,0.0,0.0,0.042,0.319,0.0,0.047,0.559,0.351,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.291,0.0,0.0,0.0,0.038,0.32,0.0,0.046,0.556,0.348,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.278,0.845,0.0,0.025,0.05,0.318,0.0,0.044,0.552,0.348,0.457,0.0,0.0,0.236,0.0,0.387,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.443,46.5,1.862,10.946,0.849,0.86,4.958,5.535,3.321,3.263,4.65,2.892,2.743,2.917,13.058,14.786,14.74,3.516,4.97035,5.680400000000001,3.55025,1.3672000000000002,2.0508,8.5812,12.871799999999999
8,20.261,124.237,43.348,46.249,13.462,9.286,53.301,28.269,17.523,18.236,21.269,60.522,26.255,25.287,111.878,50.648,87.781,23.864,65.67259999999999,75.0544,46.909,27.467200000000005,41.2008,97.606,146.409
9,50.881,199.905,115.942,81.921,41.16,28.881,144.354,46.683,33.452,38.596,34.454,146.35,65.348,57.774,212.978,88.195,155.108,57.127,163.88189999999997,187.2936,117.0585,90.202,135.303,182.44000000000003,273.66
10,77.064,245.124,153.633,107.818,67.524,50.47,193.458,63.11,47.126,55.134,42.566,216.75,115.615,70.776,292.05,115.326,211.904,92.312,205.94910000000002,235.37040000000002,147.1065,136.97760000000002,205.4664,257.8056,386.7084
11,69.301,241.303,137.215,99.816,86.988,70.763,181.731,57.035,46.45,52.467,41.681,221.678,113.226,63.853,260.268,107.93,192.581,89.917,188.7291,215.6904,134.8065,155.72080000000003,233.5812,235.88840000000002,353.8326
12,75.299,230.959,172.857,124.651,90.888,74.475,215.647,71.374,56.729,62.422,40.296,234.725,126.776,74.187,324.414,109.17,230.486,106.93,227.9116,260.47040000000004,162.794,164.8752,247.31279999999998,275.3088,412.96320000000003
13,55.323,114.578,135.571,76.245,95.246,77.745,160.685,56.617,44.977,49.415,20.777,188.637,101.236,54.168,252.075,67.56,181.661,83.002,192.76215,220.29960000000003,137.68725,150.3288,225.4932,212.8668,319.3002
14,26.096,74.366,62.167,36.653,46.659,39.553,63.881,27.304,20.477,22.124,13.289,83.765,45.847,22.95,108.058,33.873,85.926,32.265,93.71145,107.09880000000001,66.93675,63.35,95.02499999999999,99.6336,149.4504
15,18.063,36.025,34.221,24.969,25.959,22.211,38.894,15.752,13.605,14.445,6.852,63.792,31.986,15.43,61.669,18.725,55.433,22.387,49.903,57.03200000000001,35.645,47.542,71.313,58.7324,88.09859999999999
16,4.963,1.525,11.107,4.214,12.167,10.656,10.558,5.965,5.24,5.422,0.519,25.478,17.359,3.862,14.592,1.86,19.212,7.816,18.3981,21.026400000000002,13.1415,19.4816,29.2224,16.668400000000002,25.002599999999997
17,0.273,0.0,0.0,0.0,0.668,0.994,0.0,0.049,0.561,0.358,0.0,0.0,6.338,0.228,0.0,0.0,0.0,0.96,0.04305,0.0492,0.03075,0.22999999999999998,0.345,0.0,0.0
18,0.299,0.0,0.0,0.0,0.048,0.316,0.0,0.048,0.558,0.346,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.3,0.0,0.0,0.0,0.056,0.321,0.0,0.05,0.561,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.291,0.0,0.0,0.0,0.052,0.323,0.0,0.059,0.564,0.349,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.273,0.0,0.0,0.0,0.056,0.324,0.0,0.049,0.565,0.352,0.0,0.0,0.0,0.235,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.289,0.0,0.0,0.0,0.051,0.323,0.0,0.048,0.566,0.352,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.271,0.0,0.0,0.0,0.033,0.322,0.0,0.045,0.558,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.275,0.0,0.0,0.0,0.038,0.319,0.0,0.046,0.557,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.296,0.0,0.0,0.0,0.045,0.318,0.0,0.048,0.56,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.297,0.0,0.0,0.0,0.047,0.32,0.0,0.045,0.56,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.317,0.0,0.0,0.0,0.047,0.319,0.0,0.046,0.56,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
